bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
8,SHRI VISHWAKARMA TRAVELS (KETU),NON A/C Sleeper (1+2),20:30,04h 45m,01:15,3.1,500,40
8,Jain travels regd,NON AC Seater / Sleeper 2+1,20:30,04h 00m,00:30,4.8,270,48
8,Swagat Travels,A/C Seater / Sleeper (2+1),22:42,02h 38m,01:20,3.3,450,40
8,Jain travels regd,NON AC Seater / Sleeper 2+1,21:00,03h 30m,00:30,5,270,42
8,Tiger Travels,NON AC Seater / Sleeper 2+1,21:00,04h 30m,01:30,4,400,34
8,Jain travels regd,NON AC Seater / Sleeper 2+1,21:30,03h 27m,00:57,4.8,270,42
8,V k jain travels,NON A/C Sleeper (2+1),21:31,02h 45m,00:16,3,450,36
8,Jakhar Travels And Cargo,A/C Sleeper (2+1),21:45,05h 30m,03:15,3.3,500,33
8,M R Travels,NON A/C Seater/ Sleeper (2+1),22:00,03h 20m,01:20,3.5,408,32
8,M R Travels,NON A/C Seater/ Sleeper (2+1),22:00,03h 20m,01:20,3.5,459,29
8,V k jain travels,NON A/C Seater/ Sleeper (2+1),22:00,02h 45m,00:45,3,300,34
8,Jakhar Travels,NON A/C Seater/ Sleeper (2+1),22:00,03h 15m,01:15,3.7,400,44
8,FlixBus,A/C Sleeper (2+1),22:00,03h 30m,01:30,5,147.32,22
8,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,03h 36m,01:36,4.8,270,42
8,Pooja Paraswnath Travels,A/C Seater / Sleeper (2+1),22:00,04h 30m,02:30,3.4,500,32
8,B.R. Travels,A/C Seater / Sleeper (2+1),22:00,03h 03m,01:03,4.2,500,37
8,V k jain travels,A/C Seater / Sleeper (2+1),22:01,03h 50m,01:51,3,370,34
8,Jain travels regd,NON AC Seater / Sleeper 2+1,22:15,04h 20m,02:35,4.8,400,41
8,CHANDRA RAJ TRAVELS,A/C Seater/Sleeper (2+1),22:15,04h 00m,02:15,3.3,370,34
8,Jain travels regd,A/C Seater / Sleeper (2+1),22:30,02h 55m,01:25,5,500,42
8,Jakhar Travels,A/C Seater / Sleeper (2+1),23:00,03h 30m,02:30,3.7,410,26
8,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,03h 30m,03:00,3,350,40
8,Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),23:40,03h 50m,03:30,3.3,400,21
8,M R Travels,NON A/C Seater/ Sleeper (2+1),18:40,03h 35m,22:15,2,408,37
8,RR Travels,A/C Seater / Sleeper (2+1),18:55,05h 40m,00:35,1.9,333,40
8,Jai Shankar Travels,Non A/C Seater / Sleeper (2+1),20:10,04h 20m,00:30,1.8,450,34
8,Jai Shankar Travels,NON A/C Seater/ Sleeper (2+1),20:30,03h 45m,00:15,1.8,500,40
8,Salasar vaishnav travels,Non A/C Seater / Sleeper (2+1),20:30,04h 10m,00:40,2.3,450,30
8,Kalpana Travels Pvt. Ltd.,NON AC Seater / Sleeper 2+1,22:00,02h 30m,00:30,2.8,400,34
8,Laxmi traveller,A/C Seater / Sleeper (2+1),22:00,03h 30m,01:30,2.2,430,40
8,Laxmi traveller,A/C Seater / Sleeper (2+1),22:45,02h 30m,01:15,2.2,450,40
8,Shri Ganesh Travels (LR SIYOL),A/C Seater / Sleeper (2+1),23:55,03h 50m,03:45,2.8,450,32
8,bhaiya travels,NON A/C Sleeper (2+1),18:40,03h 45m,22:25,3,850,34
8,M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,03h 25m,22:55,3.5,611,24
8,Bluecity Bus,A/C Sleeper (2+1),19:00,03h 15m,22:15,4.3,950,25
8,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),19:30,03h 00m,22:30,3.1,600,36
8,M R Travels,A/C Sleeper (2+1),19:30,04h 00m,23:30,3.5,714,23
8,Jain travels regd,AC Sleeper (2+1),20:00,03h 00m,23:00,4.8,530,30
8,Pooja Paraswnath Travels,NON A/C Sleeper (2+1),20:00,03h 30m,23:30,3.4,600,30
8,M R Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:30,03h 20m,23:50,3.5,510,35
8,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,03h 20m,23:50,3.5,750,28
8,Babu Travels,NON A/C Sleeper (2+1),21:20,03h 50m,01:10,4.1,600,10
8,Chanakya Travels Agency,A/C Sleeper (1+2),21:30,03h 10m,00:40,3.5,950,11
8,Chanakya Travels Agency,AC Sleeper (2+1),21:30,03h 10m,00:40,3.5,900,36
8,M R Travels,A/C Sleeper (2+1),22:00,03h 30m,01:30,3.5,600,37
8,Gajraj Travels,A/C Sleeper (2+1),22:00,04h 08m,02:08,5,650,29
8,M R Travels,A/C Seater / Sleeper (2+1),22:00,03h 10m,01:10,3.5,510,35
8,Gajraj Travels,A/C Sleeper (2+1),22:00,03h 30m,01:30,5,700,15
8,M R Travels,A/C Sleeper (2+1),22:00,02h 55m,00:55,3.5,714,18
8,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),22:00,02h 55m,00:55,3.3,550,42
8,Jakhar Travels And Cargo,A/C Seater / Sleeper (2+1),22:00,04h 00m,02:00,3.3,550,30
8,Jain travels regd,AC Sleeper (2+1),22:00,03h 40m,01:40,4.8,530,34
